seq_id	start	end	strand	gene
Reference	12114306	12117047	+	IFIT10A
Reference	12134157	12136879	+	IFIT10B
CS4_h1	1467032	1469773	+	IFIT10A
CS4_h1	1487904	1488077	+	ψ
CS4_h1	1506023	1508744	+	IFIT10B
CS4_h2	156226	159012	+	IFIT10A
CS4_h2	178560	179770	+	ψ
CS4_h2	204134	205392	+	IFIT10B_null
CS5_h1	477367	480209	-	IFIT10A
CS5_h1	456999	458209	-	ψ
CS5_h1	429452	430703	-	ψ
CS5_h1	422638	423896	-	IFIT10B_null
CS5_h2	1508961	1511705	+	IFIT10A
CS5_h2	1515727	1517162	+	ψ
CS5_h2	1535578	1538296	+	IFIT10B_null
